fb_id,name,definition_excerpt,discipline_A_deepseek,discipline_B_qwen38,silver_discipline,domains_deepseek,domains_qwen38,domain_overlap,HUMAN_discipline_VERDICT,note
cdf61c29a6f42927af369cf807c48c6044f3a2682227887897b1ea5bb291986a,Abductive Reasoning Diversity,"Abductive reasoning generates multiple possible explanations for an observed event, with no single explanation being privileged as more likely than others. The process involves considering all plausible hypotheses that could account for the evidence, including highly improbable or fantastical ones.",cognitive science,decision making,,research & methodology; science & research,design strategy; research & methodology,research & methodology,cognitive science,Abduction = hypothesis-generation reasoning _ mental processes; not action selection.
1bd8c46d95068a395d33742b63c96b60dc09f6a52e75bcf1c5f88494679a0466,Addiction As Chronic Reward Seeking,"Addiction is characterized by persistent pursuit of rewarding stimuli despite negative consequences. This pattern emerges across substances, technologies, and behaviors, indicating a fundamental human drive to seek rewards even when they cause harm. The condition is not defined by the specific rewar",psychology,neuroscience,neuroscience,digital product; health & wellness; user experience,health & wellness; user experience,health & wellness; user experience,psychology,Behavioral characterization of pursuit-despite-harm; no neural mechanism in text. Overrides silver=neuroscience.
59cc4fe5fb24cb1d59ebda61ff5eef247900de0f29ce8f239a4bc6da5649210d,Aesthetic Symbol Substitution Principle,"Thematic linguistic symbols in political contexts are stripped away from 'political' control and detonate without external elaboration, while aesthetic experiences resist external interpretation and cannot be mystically understood through external authority.",semiotics,aesthetics,,arts & culture; semiotics & communication,arts & culture; semiotics & communication,arts & culture; semiotics & communication,aesthetics,it says aesthetic expression is subjective externally can not be controlled
fb0be01acf12af8ffe28a16a11ede9408d216c5653bd0826165459bc8756af3b,Agent-driven System Resilience,"An agent-based system maintains operational integrity and performance under stress by combining deterministic execution controls, adaptive task configuration, and structured safeguards that enable graceful degradation and recovery.",systems engineering,complex adaptive systems,software engineering,ai & agents; engineering practice; systems & frameworks,ai & agents; engineering practice; systems & frameworks,ai & agents; engineering practice; systems & frameworks,software engineering,Deterministic controls/safeguards for agent-based software integrity. Overrides A=systems engineering.
641036067d7a4752f004e63030a765770c064b3fb80e30f6bc1faa16b9d1f662,Assertion As Design Foundation,"An assertion is a proposed claim or hypothesis that serves as the starting point for design and creation processes, requiring testing to validate its truth.",design thinking,creative process,,design strategy; product design; research & methodology,design strategy,design strategy,design thinking,
90214f5f5193e8db5f9761512c8428378aba2b792e9ba4a11ae84d0a711d199d,Attention Economy Value Proposition,"The fundamental value of a media or information product is not its content or service, but the attention of its audience, which can be monetized through advertising. This creates a competitive dynamic where the primary goal is audience capture and retention rather than content quality or information",economics,media studies,economics,marketing & communications; media & entertainment,design strategy; marketing & communications; media & entertainment,marketing & communications; media & entertainment,economics,"Mechanism is market monetization & competition; media is the context, not the lens."
ef189ad0d06d7c765fa69453cdcf4c45cc34a244a1e9b52a84628678c3b75f06,Barter-exchange Relationship Building,"Professional relationships can be cultivated through non-monetary exchanges of value such as social favors, introductions, or reciprocal services. These exchanges create mutual benefit and strengthen networks beyond direct financial transactions.",organizational theory,sociology,,business development; leadership; organizational behavior,business development; leadership; social sciences,business development; leadership,organizational theory,"Professional relationship cultivation within work structures; social exchange is mechanism, org context primary."
9e651096d902895212f4cc24dfa1ca2578bbbdc0b664eda3c8e28f0dee2b37cc,Bounded Novelty in Language and Health,"Language use in health contexts operates through bounded novelty - where new information or expression is embedded within familiar structures, allowing for emotional and cognitive processing without overwhelming psychological resistance. This principle describes how language can function as a therap",psychology,linguistics,health & medicine,health & wellness; semiotics & communication,health & wellness; semiotics & communication,health & wellness; semiotics & communication,psychology,Mechanism is emotional/cognitive processing & resistance - a psycholinguistic processing claim. Overrides silver=health & medicine.
603980d65464ac230c28270900c528f1731c275ed39925643f53bd844233c597,Childlike Thinking in Idea Generation,"A creative methodology that encourages abandoning adult constraints and adopting the enthusiastic, unrestricted approach of childhood when generating new ideas.",creative process,creative process,,design strategy; product design,arts & culture,,creative process,
7a2e37c1ad79875634ae81bf8627de9f02fd90d5d36fd40998689628bed82cd2,Closed System Vision for Architecture and Computation,A prescriptive concern about how proprietary technological systems will be designed and imposed upon users in ways that prevent them from modifying or challenging the systems' responses to their needs.,political economy,systems thinking,,engineering & infrastructure; environmental design; systems & frameworks,design strategy; engineering & infrastructure; systems & frameworks,engineering & infrastructure; systems & frameworks,political economy,"Proprietary-imposition critique = power/institution-economics relation, not general systems holism."
