#,item_id,name,DEFINITION,APPLICATION,MECHANISM,BOUNDARY,SOURCE EXCERPT,len,CT (1-7),DISC (1-62),FORM (1-4),conf_ct,conf_disc,conf_form,note_codes,reviewer,date
1,R001,Surveillance Capitalism Value Proposition,Surveillance capitalism extracts value from human behavior data by creating personalized services that enable targeted advertising. The principle describes how user data becomes the raw material for economic value creation in digital platforms.,"When a digital platform collects user behavior data and uses it to predict and influence actions for advertising, do assess the economic value generated and the privacy implications.","This is an empirical pattern describing how user behavior data is monetized through personalized services. The value is generated not from direct user payment but from the ability to predict and influence user actions for advertising purposes. The process involves collecting behavioral data, building predictive models, and using these to optimize ad targeting and user engagement.","Applies when user behavior data can be collected and used for predictive advertising. Fails when data collection is restricted by privacy laws, user consent, or when the platform cannot generate sufficient user engagement to attract advertisers.","[Strategic Analytics (Martin Kunc) (z-library.sk, 1lib.sk, z-lib.sk).md] Surveillance capitalism extracts value from human behavior data by creating personalized services that enable targeted advertising. The principle describes how user data becomes the raw material for economic value creation in digital platforms.",1374,principle,privacy & surveillance,casual mechanism,1,1,0.6,"llm claim its empirical_pattern but there are whole indstry is built on, it must be more than just empirical pattern",human,17.09.26
2,R002,Soviet Underground Discourse Reception,"A phenomenon where Soviet audiences misinterpreted Western cultural references as new genres rather than parodies, and where underground cultural messages were received as legitimate content despite official censorship.","When a cultural audience encounters foreign media with unfamiliar references, do they interpret it as a new genre rather than a parody? When official discourse legitimizes underground content, do audiences accept it as mainstream? In both cases, do you adjust your analysis of cultural transmission to account for reference gaps and institutional framing?","The Soviet audience's lack of cultural referents to Western works like Fantômas caused misinterpretation, while the official cultural discourse's emphasis on underground struggle created a context where secret cultural transmission was normalized as legitimate.",Applies specifically to Soviet cultural reception contexts where audiences lacked reference points for Western works and where official discourse legitimized underground messaging. Fails in contexts without similar cultural dissonance or official endorsement of underground content.,"[[Aleksei_Semenenko_(auth.)]_The_Texture_of_Culture(z-lib.org).md] A phenomenon where Soviet audiences misinterpreted Western cultural references as new genres rather than parodies, and where underground cultural messages were received as legitimate content despite official censorship.",1407,quarantine,cultural studies,empirical pattern,0.8,0.6,1,"cant decide if its process instance or principle, or iit is noise drop considering that all source are quoting the same book not even sure if its convergent",human,17.09.26
3,R003,Quantum Cognitive Effects in Survey Design,A theoretical framework explaining how question order in surveys fundamentally changes respondents' mental states and thinking patterns through quantum-like cognitive processes.,"When designing a survey, if you want to avoid unintentionally reshaping respondents' mental frameworks, first identify questions that could collapse superposed mental states and reorder or reframe them to preserve the intended measurement context.","Survey questions influence respondents' thinking by collapsing superposed mental states, where respondents exist in multiple potential viewpoints simultaneously until a question forces commitment to one perspective, fundamentally reshaping their mental framework rather than merely revealing existing opinions.",Applies to survey design where question order and framing can significantly impact responses. Fails when survey designers do not account for quantum cognitive principles or when respondents are not in superposition states.,"[The AI-Enabled Engineer_ A Comprehensive Framework for -- Kevin Cai; -- 2026 -- John Wiley & Sons, Incorporated -- isbn13 9781394375783] A theoretical framework explaining how question order in surveys fundamentally changes respondents' mental states and thinking patterns through quantum-like cognitive processes.",1275,principle,research methodology,causal mechanism,1,1,1,,human,17.09.26
4,R004,Lockdown Effectiveness and Economic Impact,Scientific evidence demonstrating that lockdown policies had minimal effect on COVID-19 mortality while imposing significant economic and social costs.,"When evaluating a proposed lockdown during a pandemic → consider that evidence shows minimal mortality benefit but significant economic and social costs, and adjust policy decisions accordingly.","Systematic review and meta-analysis of lockdown policies showed that while these measures failed to significantly reduce mortality, they imposed enormous economic and social costs on populations.",Applies to the specific policy evaluation of lockdowns during the pandemic. Fails to address the broader policy implications or alternative approaches.,[The New Abnormal The Rise of the Biomedical Security State.md] Scientific evidence demonstrating that lockdown policies had minimal effect on COVID-19 mortality while imposing significant economic and social costs.,910,process instance,political economy,empirical pattern,0.6,,0.8,it's a really vague example l for process instance of what lock down does,human,17.09.26
5,R005,Graphics Algebra Cross Operator,A graphics algebra operator that combines multiple variables into a single variable by associating their rows with each other.,When you need to merge multiple data columns into a single variable for rendering a composite graphic → do use the cross operator to combine rows into one unified variable.,"The cross function combines separate variables into one variable so that rows are associated with each other, enabling the creation of more complex graphics representations.",Applies when multiple separate variables need to be combined into a single variable for graphics processing. Fails when variables cannot be meaningfully cross-combined.,"[The Grammar of Graphics, Second Edition by Leland Wilkinson.md] A graphics algebra operator that combines multiple variables into a single variable by associating their rows with each other.",834,principle,computer graphics,causal mechanism,0.8,1,0.8,potential process template,human,17.09.26
6,R006,Generative Algorithmic Composition,"Algorithmic composition uses computational processes to generate musical structures, often leveraging mathematical formulas or procedural techniques to create complex soundscapes with minimal manual parameter control. The approach enables real-time generation of inharmonic spectra and complex audio textures through systematic rule-based manipulation.",When creating music or visuals with computational processes → do encode properties into algorithms and control parameters to generate complex patterns.,"This is a practical heuristic for creating complex audio and visual content: algorithmic composition works by encoding musical or visual properties into computational processes that can be parameterized and controlled. The method allows for rapid generation of intricate patterns through mathematical transformations rather than manual design, enabling intuitive control over emergent properties like",Applies when musical or visual content can be described by mathematical relationships or procedural rules. Fails when content requires highly subjective artistic judgment or human performance that cannot be captured in algorithmic form.,"[Graphics Shaders Theory and Practice, edition 2 (Mike Bailey Steve Cunningham) (z-library.sk, 1lib.sk, z-lib.sk).md] Algorithmic composition uses computational processes to generate musical structures, often leveraging mathematical formulas or procedural techniques to create complex soundscapes with minimal manual parameter control. The approach enables real-time generation of inharmonic spectra ",1659,principle,generative design,normative_heuristic,1,1,1,,human,17.09.26
7,R007,Accessible Electronic Prototyping Ecosystem,"A system of online tools, retailers, and community resources that democratize the creation of sophisticated electronic prototypes by making technical components and knowledge more accessible to non-experts.","When a non‑expert needs to build an electronic prototype → browse online catalogs, follow step‑by‑step tutorials, and engage with community forums to acquire parts and learn skills.","Online retailers like Sparkfun and Adafruit provide accessible catalog listings, step-by-step tutorials, and rapid shipping options that lower the barrier to entry for creating electronic prototypes, while the online community of tips and resources enables beginners to learn through practical examples.",Applies to the modern ecosystem of accessible electronic prototyping tools and community support. Fails when the technical complexity exceeds the available community resources or when physical components are not available through accessible retailers.,"[The Education of a Graphic Designer, 3rd Edition.md] A system of online tools, retailers, and community resources that democratize the creation of sophisticated electronic prototypes by making technical components and knowledge more accessible to non-experts.",1205,growth edge,,causal mechanism,1,,1,,human,17.09.26
8,R008,Inescapable Shock Syndrome,"A psychological and physiological condition where organisms continue to experience stress responses even after the immediate threat has ended, due to prior exposure to uncontrollable aversive events.",When an organism has experienced uncontrollable aversive events and continues to show stress responses after the threat is removed → do assess for inescapable shock syndrome and implement interventions to restore stress regulation.,Prior exposure to inescapable aversive events (like painful electric shocks) creates a learned helplessness response where the organism's stress response system becomes dysregulated and fails to return to baseline even when the threat is removed.,Applies specifically to organisms that have experienced prior uncontrollable aversive events and subsequently show persistent stress responses. Fails to apply when the stressor is controllable or when the organism has not experienced prior helplessness.,"[The Body Keeps the Score -- Bessel van der Kolk MD -- 2014 -- Penguin Group US -- 525682e8a3eda8af6f887105200b7490 -- Anna’s Archive.md] A psychological and physiological condition where organisms continue to experience stress responses even after the immediate threat has ended, due to prior exposure to uncontrollable aversive events.",1270,principle,psychology,descriptive model,1,1,1,,human,17.09.26
9,R009,Entrepreneurial Risk Assessment Framework,A decision-making process for entrepreneurs evaluating whether to launch a business by comparing the worst-case scenario with their personal risk tolerance and financial capacity.,When an entrepreneur is deciding whether to launch a business → do a structured worst‑case scenario analysis and compare it to personal risk tolerance and financial capacity.,"The framework requires entrepreneurs to visualize and accept the worst-case outcome of launching a business, which involves quitting a well-paying job, using savings, and potentially taking on new debt, before making a decision about whether to proceed with the risk.",Applies to entrepreneurs facing a critical choice between starting a business or maintaining financial stability. Fails when the entrepreneur cannot realistically assess their risk tolerance or when the decision is made without proper scenario analysis.,"[What_s_Your_Dream_Find_Your_Passion,_Love_Your_Work_and_Build_a.md] A decision-making process for entrepreneurs evaluating whether to launch a business by comparing the worst-case scenario with their personal risk tolerance and financial capacity.",1125,principle,risk management,normative heuristic,0.6,1,1,im not sure if it could be a process template,human,17.09.26
10,R010,Iterative Launch Process,"Successful product development requires continuous cycles of launching, measuring, and adjusting rather than a single initial launch. The process is ongoing and adaptive, not a one-time event.","When launching a product or feature → do release incrementally, collect feedback, analyze performance, adjust, and repeat.","The iterative launch process involves repeatedly releasing products or features to market, collecting feedback and data, analyzing performance, and making adjustments before launching again. Each cycle builds upon previous insights, allowing for continuous improvement and refinement of the offering based on real-world usage and user response.",Applies when products or services can be released incrementally and feedback can be collected from users. Fails when launches are irreversible or when there is no opportunity for measurement and adjustment after initial release.,"[Company of One Why Staying Small is the Next Big Thing for Business (Paul Jarvis) (z-library.sk, 1lib.sk, z-lib.sk).md] Successful product development requires continuous cycles of launching, measuring, and adjusting rather than a single initial launch. The process is ongoing and adaptive, not a one-time event.",1203,process template,design thinking,normative heuristic,1,,1,,human,17.09.26
