#,fb_id,name,content_type,extraction_type,depth,discipline,status,text_chars,G2_VERDICT_keep_or_retire,G2_quality_1to5,G2_note,G2_reviewer,G2_date
1,00246a3576082a2f8236612e84a7857df867931616ca1390187fc79222a08a02,Self-service Business Model,principle,causal_mechanism,domain,strategic thinking,PASS,733,keep,5,ok,human,17.09.26
2,00916545c157160e234827d42f9e90f625d8620d6bfe9ecd063dee92ddd48e47,Onboarding Optimization Framework,principle,normative_heuristic,domain,human-computer interaction,PASS,476,keep,5,ok,human,17.09.26
3,017cd29d8265b714f32a1b62ba1a48dd1a4b3501c93a8e6cbae407e3a97be018,Seven Patterns of Idea Generation,principle,descriptive_model,cross-domain,cognitive science,PASS,775,keep,5,ok,human,17.09.26
4,01089c5b0d169583fae8f72b5fc4ecf9546476c943dca2203f1c47d95cb77648,Technology Adoption Analogy Fallacy,principle,empirical_pattern,domain,strategic thinking,PASS,703,keep,5,ok,human,17.09.26
5,015b40f08499323ba7dd08333988ab2514630fa3e3af29553d1cc06a3365b63e,Bauhaus and Modernist Architecture Influence,noise_drop,empirical_pattern,,cultural design,QUARANTINE,609,retire,2,other: too abstract as well too subjective,human,17.09.26
6,012663d3317dc8f5b404735785760b014a506a258dc71fb91eb8d3d3fdc36ded,Family-based Visa Limitations and Immigration Policy,noise_drop,causal_mechanism,,political economy,QUARANTINE,727,quarantine,3,"other: its valid fact, but its a fringe fact",human,17.09.26
7,01f032f04c1a06f6eb297a30bc806253b82b37a4e215315101fc59547fa9d340,Surrealist Film Techniques,noise_drop,descriptive_model,,motion & time,QUARANTINE,629,retire,2,summary,human,17.09.26
8,0114e203ed247c32146066ccca1526e0819ebf3c52989b6ec04f73a08f5d476d,Nasa's Voluntary Aviation Error Reporting System,process_instance,causal_mechanism,,human-computer interaction,QUARANTINE,642,keep,4,other: keep as process instance,human,17.09.26
9,00ee028761ad041b0933a4e91c8e5e3c304df18c2c648cc0ddd10d481f0f41e7,Simple-collective-tight Brand Building Process,process_template,normative_heuristic,,emerging,QUARANTINE,619,keep,4,mislabel: its brand strategy/approach priciple rather than process templateand for discipline :strategic thinking,human,17.09.26
10,050439ca50891cc2a2d8aad42f13ecdabeb7f5e4a15ea3f0354dd43e5e2b23bc,Python Age Grouping and Aggregation,process_template,causal_mechanism,,research methodology,QUARANTINE,450,keep,3,mislabel: its a tools instruction for specific usecase in data visualization,human,17.09.26
11,0639d1099431ae6a9b708806031d79f6e79bc0e8452396e603d5ad20ad9ad80d,Multimedia Demystified Book,process_instance,descriptive_model,,information science,QUARANTINE,734,retire,1,"meta:talks about a book , label is as : noise drop ",human,17.09.26
12,015938006ab4579b9b339c2cac9fdf30a7d55f24197754dfd6e092fb160b9196,Passion-struck Framework for Intentional Living,process_template,descriptive_model,,psychology,QUARANTINE,612,keep,4,agree it is process template,human,17.09.26
13,0ad15d86a0468dcd0ea389b2e2fcf37e74515de6bcb02f47cd9a18fb1109fba7,Ammann's Format Theory,quarantine,causal_mechanism,,aesthetics,QUARANTINE,703,quarantine,3,thin: not accesible noob proof eplanation,human,17.09.26
14,33666a900d6705b13090c82333e0bc5f8d9b7554cbfee4cad0841bfdf331856a,Simplicity Cult in Saas Pricing,growth_edge,empirical_pattern,,strategic thinking,QUARANTINE,635,quarantine,2,thin: not accesible noob proof explanation,human,17.09.26
15,044cb4ea65286d3c69bd1c23d17bb505135f98e8524d32752b3166edfcdf69e6,Delphi Method at Rand Corporation,process_template,empirical_pattern,,operations research,QUARANTINE,699,keep,4,"thin: should be more specifc, exact for process template",human,17.09.26
16,1ca534ec8e2845e2b51b78fc2933fa1374015f3909f74247198e44ae053b3d6b,Metacommunicative Awareness Hypothesis,growth_edge,causal_mechanism,,evolutionary biology,QUARANTINE,640,keep,4,agree its can be growth edge,human,17.09.26
17,280230b92df2b7d26fe0258b9ae77916103215d1bcd1504bb2380b75a0b1e60d,Signal Summation in Msp,tool_instruction,causal_mechanism,,emerging,QUARANTINE,612,keep,4,agree it is tool instruction,human,17.09.26
18,487a7247610b7cd7612d17332bae381d2b5abba41b4293947a969c157cf2e1dd,The Checklist Manifesto: How to Get Things Right,process_instance,empirical_pattern,,operations research,QUARANTINE,473,quarantine,2,fragment/thin,human,17.09.26
19,22767596a46e4c3658d5af03ab7feab3f72466132dc22b8908712102bfff4806,Bradley's Typographic Design Methodology,process_instance,normative_heuristic,,typography,QUARANTINE,749,quarantine,3,mislabel/thin its design strategy principle or method process template principle not process instance but since its not enough rich it can be dicde about the object type,human,17.09.26
20,353f6498a259ee1afc191869b2af6d5e9a0b61e903e9635d904dc1ea86b23c54,Office Design Evolution and Energy Minimization,quarantine,empirical_pattern,,human-computer interaction,QUARANTINE,668,quarantine,3,thin,human,17.09.26
21,2228f2bb06e3aae0f28737d4d0ae42529ef28b16e19692d276cdd74d08e36545,Function Overloading in Graphics Production Language,tool_instruction,normative_heuristic,,software engineering,QUARANTINE,653,keep,4,ok: agree tool instruction,human,17.09.26
22,2f16d31437ab0befecefbcc869b44600cbc75a6d851975fb216c702092758ebd,Gradio Web Interface for Ml Models,tool_instruction,descriptive_model,,machine learning,QUARANTINE,575,keep,4,ok: agree tool instruction,human,17.09.26
23,555055fba66d3756100444961707adcca02b26782617ec7300e2aeda357f89ec,Designing with Type (2),noise_drop,normative_heuristic,,typography,QUARANTINE,570,retire,1,summary,human,17.09.26
24,27679eb69efece12587035a33c95310ec85a96c136f5aa337aa35e30ba8b13e0,Llm Data Privacy and Safety Guidelines,quarantine,normative_heuristic,,privacy & surveillance,QUARANTINE,573,quarantine,4,thin: doesnt provide exact instructions so it could be become a process template,human,17.09.26
25,40be9c9a704581bf06a74e56adff676784af12f2236b0a1e97aeed9941535e7a,Cellular Automata and Computational Universality,quarantine,descriptive_model,,computational theory,QUARANTINE,635,quarantine,4,"other: its valid fact, but its a fringe fact",human,17.09.26
26,b7e972a459daf6d74004bed1ba23fae906b721e28cf676b1d8c60f5e510891df,Ai and Economic Transformation,growth_edge,descriptive_model,,economics,QUARANTINE,539,keep,5,ok: agree growth edge its hypthetical,human,17.09.26
27,003cb59a7e99ff8a03ca506fcffc5e155f806aef203f0077f5a3a75117346708,Cultural and Linguistic Context in Evaluating Lies,principle,causal_mechanism,domain,psychology,PASS,793,keep,5,ok,human,17.09.26
28,00619acc812e2a7e3643ca9a7b877fce671ba619b169d249c147f9f3ec4d59a6,Ethnic 'we'-ness As Business Advantage,principle,causal_mechanism,domain,anthropology,PASS,564,keep,5,ok,human,17.09.26
29,0081c944aef954a9ad34d53254b081bf79f3d20d2e9644bf440bb6665ef66441,Nature-inspired Design Philosophy,principle,causal_mechanism,domain,cultural design,PASS,604,keep,5,ok,human,17.09.26
30,009206a81b5f4eb67e90e24b563f5b099ea4d7e4e3dbdd5ab71237112896ba42,Cellular Automaton Simulation,principle,causal_mechanism,cross-domain,complex adaptive systems,PASS,694,keep,5,ok,human,17.09.26
