fb_id,name,verification_status,content_type,depth,discipline,domains,missing_axes,status,action
000e035798b39c4d4ada638aef410061175cfe7b7c6eb37e50ae2024d5d50724,Status-driven Narrative Structure,pending-human,principle,domain,literary theory,"arts & culture,media & entertainment",,complete,
00e319aadd1e21979f65c9ece947bd67a041e9ba2c14e8e86cf0572ac944c247,Neural Network Normalization,joint-vote-verified,principle,domain,machine learning,"ai & agents,code & computation",,complete,
00f902e08887b2117101b23d635f2d9640bf0f8949154b237ee78200e2fd895f,Golden Ratio in Art and Architecture,joint-vote-verified,noise_drop,,cultural design,"arts & culture,engineering practice","discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
01d76d94efc27541b5fa0a5c96cc962673fb67349138dc114acca9c9093f11a8,Immediate Modality Control,joint-vote-verified,principle,domain,human-computer interaction,"digital product,user experience,web & ui",,complete,
0221476f29dcecf471759802848d3d6644419d053e68164d142490f3c0b68ae0,Typographic Medium Evolution,pending-human,principle,domain,typography,"graphic design,design strategy",,complete,
0247b0e0f1afcb5d5a6767b6437504e4ad49a281da1819730816210ac7f47852,Audio-visual Integration in Motion Graphics,pending-human,,,motion & time,media & entertainment,"depth,discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
03f5652ac402a3bc3028b789c7c4e3182efc21e52ca7a9f4195a53919ef09090,Bullying and Revenge Violence Mechanism,joint-vote-verified,principle,domain,psychology,social sciences,,complete,
040a95cb87be52e87be9a8b727c604a224f5aece45e4d7b6ff8a655089798d82,Metaphorical Conceptualization From Cultural Traces,joint-vote-verified,principle,cross-domain,linguistics,"arts & culture,semiotics & communication,social sciences",,complete,
042ef647da8ee501e94978c2ba0ef462333d0eee26e6177283063c54368a1608,Xavier Glorot Weight Initialization,pending-human,principle,specialized,machine learning,"ai & agents,code & computation",,complete,
042f578c0de0d504b37f3b51b308be44f0de5eaac230ec13fdb2a0ba9171cf1b,Systems-wide Optimization,joint-vote-verified,principle,cross-domain,systems thinking,"design strategy,systems & frameworks",,complete,
050439ca50891cc2a2d8aad42f13ecdabeb7f5e4a15ea3f0354dd43e5e2b23bc,Python Age Grouping and Aggregation,pending-human,process_template,,,,"depth,discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
0584f79120878b4c2a7d0be58f4cd8d8508cdd519ec0ee2fdafadc37b736a724,Generative Language Model Evolution,joint-vote-verified,noise_drop,,machine learning,research & methodology,"discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
05f317973158426d06bfd5c91fd8148b548fc5018486be24dd2c582b5fcfaa70,Naumburg's Scribble Technique,pending-human,,,,,"depth,discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
06312e301bef84561951927eb02d7ceacb8ca7704de1e31065e7f776a0a7a9aa,Abductive Reasoning in Semiotic Interpretation,pending-human,principle,universal,semiotics,semiotics & communication,,complete,
066bf49bbddad5147006086394b53d5d7dc87e2681a13109c932c09083d09549,Customer Discovery Method,pending-human,,,,,"depth,discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
068767776869cbeff7651757a2b3c3e317bafc837c5edf8d29437d1ea0728244,Futurist Kinetic Art Composition,pending-human,,,,,"depth,discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
06a3b2e8d6d019fb57f1ac1fd5028603acb60db0f488ca68e44947444996eb03,Message Decoding and Interpretation,pending-human,principle,cross-domain,semiotics,semiotics & communication,,complete,
06f397e33c113759ced4e2642bdd2f18acc587bfdbb4500072f21635bab9c8aa,Wood Engraving Technique in Illustration,pending-human,process_template,,,,"depth,discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
072ed7d30c940d959cb962eb187352a10d02b62580bf3d6a7380457c586d7a5c,Design-driven Global Expansion,pending-human,principle,domain,strategic thinking,"business development,design strategy,product design",,complete,
0939198e2c8fc7022661ec5c80a01d51983317f40beffe0a8df9535e3cdf72f8,Cultural Commodification Through Globalization,pending-human,,,anthropology,"arts & culture,business development,design strategy","discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
09a7ffefd4c1579d8dae515902a6ad97c30fd7b8e517a961d5c7fe2bed57a10b,Ai-enhanced Drug Development Process,pending-human,process_instance,,,,"depth,discipline,domains",incomplete,reliable-pair vote (depth+discipline+domains)
