task,item_id,what_to_compare,QUESTION,allowed_answer,object_1_name,object_1_definition,object_1_application,object_2_name,object_2_definition,object_2_application,object_3_name,object_3_definition,other_members_in_group,source_text_excerpt,claimed_labels,HUMAN_VERDICT,HUMAN_confidence_0to1,HUMAN_note_codes,reviewer_date
T1_dedup,T1-01,2 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Optical Spacing and Kerning Adjustment,"Proper spacing and adjustment of type elements (punctuation, hyphens, dashes, letters) is required to achieve optical evenness and visual balance in typography, particularly in display and body text. This adjustment addresses perceptual discrepancies between geometric and optical spacing.","When encountering letter combinations or punctuation that create perceptual gaps or visual imbalances, adjust the spacing manually or algorithmically to achieve optical evenness and visual balance.",Optical Spacing Adjustment,Adjustments to letter spacing are required because human perception of text spacing differs from geometric measurement. Visual optical balance must be achieved through manual or algorithmic modification of default spacing to ensure text appears evenly spaced and readable.,When text in a proportional font appears uneven or readers feel the spacing is off → do adjust kerning pairs or letter spacing to correct optical gaps and achieve visual evenness.,,,,,group size 2,same,1,OK,17.09.26
T1_dedup,T1-02,2 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Strategic Relationship Building,"Building meaningful relationships with potential clients, partners, and stakeholders is a foundational strategy for business growth and success, even when the initial interaction appears transactional. The principle emphasizes that every business relationship begins with understanding the other party's needs and motivations.","When initiating contact with a potential client or partner → do actively listen to their needs, articulate how your solution aligns, and follow up with tailored communication to build trust.",Strategic Relationship Building (2),"Effective relationship development requires gradual trust-building through multiple stages of engagement, where each interaction advances the relationship toward deeper collaboration and mutual benefit. The process involves managing both objective and subjective resistance while maintaining a consistent, value-driven approach.","When building a partnership with a new client → do start with small, low‑risk interactions, demonstrate consistent value, and progressively deepen collaboration while addressing resistance in a non‑confrontational way.",,,,,group size 2,same,1,trunctuated in application,17.09.26
T1_dedup,T1-03,2 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Cellular Automata Behavior Classification,"Cellular automata systems can be classified into distinct behavioral categories based on their long-term evolution patterns, with rules generating either stable states, periodic cycles, chaotic dynamics, or complex emergent behavior. The classification depends on how initial conditions and local update rules interact across the grid.","When observing a cellular automaton’s long‑term evolution from random initial conditions → classify its behavior into Class 1 (stable), Class 2 (periodic), Class 3 (chaotic), or Class 4 (complex) to guide expectations about stability, predictability, and potential for emergent computation.",Cellular Automata,"A computational system built from simple digital elements called cells, each with a binary state (0 or 1), that can reveal how complex systems operate and demonstrate programming techniques for code-based projects.",When modeling complex behavior with simple binary units in a grid or network → do use a cellular automaton to study emergent patterns and prototype algorithms for code-based projects.,,,,,group size 2,inbetween,0.4,Taxonomy:  the first is taxonomy the second is more act as defintion but they are interrelate,17.09.26
T1_dedup,T1-04,2 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Design System Communication Strategy,"Design systems require deliberate communication and promotion strategies to ensure adoption and usability across teams, as they are not naturally visible or accessible without intentional effort. The principle describes how design systems must be actively surfaced and integrated into workflows to be effective.","When a design system is introduced to a team, ensure there is a clear launch event or integration point—such as embedding documentation in design tools or adding a quick‑start guide to the development workflow—to make the system discoverable and accessible to all stakeholders.",Design As Communication Strategy,Effective design integrates visual and textual elements to communicate complex messages through structured relationships and symbolic representation. The principle emphasizes that design serves as a strategic communication tool that combines practicality with creative expression to convey meaning.,"When designing a brochure that must explain a technical process, organize visual elements into a clear hierarchy, use blank space to separate information layers, and incorporate symbolic imagery to represent abstract concepts, thereby guiding the reader’s perception and understanding.",,,,,group size 2,differ,0.6,AMBIG: one is design system related other design related communcation strategy,17.09.26
T1_dedup,T1-05,2 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Digital Font Design and Gendered Typography,"The transformation of handwriting characteristics into digital typography, where script fonts represent iconic versions of handwriting styles while gendered names and standardized forms remove indexical signification in favor of iconic and symbolic meaning.","When designing a digital typeface that should be gender‑neutral and universally applicable, → randomize and dissolve the outlines of the glyphs to create an androgynous, iconic form; when using a script font with a gendered name, → preserve symbolic associations while acknowledging the loss of index",Digital Typography and Irregularity in Design,"A semiotic inquiry into why digital graphics often incorporate irregular and distressed visual elements despite the technology's capacity for clean, regular output.","When encountering digital typography that intentionally includes irregular or distressed elements, designers should recognize that the irregularity is a communicative tool and adjust their design strategy to leverage contrast between synthetic perfection and organic imperfection for stronger emotion",,,,,group size 2,differ,0.6,,17.09.26
T1_dedup,T1-06,4 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Business Model Innovation Through Disruption,"Innovative business models emerge when new value propositions address unmet user needs or societal challenges, often by leveraging technological advances or reimagining existing industry structures. These models can transform established sectors by offering superior solutions that disrupt traditional approaches.","When entrepreneurs spot unmet user needs or systemic inefficiencies in an industry, they should design a new business model that leverages existing technology and novel organizational or service structures to deliver superior value to those users.",Business Model Innovation Through Prototype Iteration,"Innovative business models often emerge from iterative prototyping and real-world testing, where initial concepts are refined through practical application and user feedback. This process involves taking a basic idea, implementing it in a controlled environment, and gradually scaling it into a full organizational model.","When developing a new business model → prototype it in a controlled environment, gather user feedback, refine the concept, and scale it gradually into the full organizational structure.",Business Model Innovation Through Digital Integration,"Business model innovation occurs when organizations integrate digital technologies with sustainable practices and circular economy principles to create new value propositions and operational efficiencies. This innovation process enables organizations to address environmental challenges, enhance resource utilization, and transform traditional business models into more resilient and competitive frameworks.",Business Model Innovation Myths,,group size 4,inbetween,0.4,AMBIG:,17.09.26
T1_dedup,T1-07,3 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Responsible Ai Governance Framework,"A comprehensive governance approach for AI systems that integrates security, compliance, and ethical standards across the AI lifecycle. The framework encompasses technical safeguards, policy enforcement, and organizational practices to ensure AI systems operate within defined boundaries and societal values.","When deploying AI solutions that require multi‑stakeholder oversight and regulatory compliance → do adopt the Responsible AI Governance Framework to integrate technical safeguards, policy enforcement, and ethical standards across the entire AI lifecycle.",Responsible Ai Framework,"A comprehensive approach to AI development that integrates explainability, safety, security, and ethical considerations to build trustworthy systems. The principle encompasses multiple dimensions of responsible AI including transparency, risk mitigation, and stakeholder alignment.","When developing or deploying an AI system in a trust‑sensitive environment → do integrate explainability, safety, security, and ethical safeguards to build trustworthy systems.",Responsible Ai Governance Framework,"A comprehensive governance approach for AI systems that integrates ethical considerations, transparency, and stakeholder input to ensure trust, fairness, and societal alignment. The framework addresses both technical and social dimensions of AI deployment.",,,group size 3,same,0.8,,17.09.26
T1_dedup,T1-08,2 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Autonomous Decision-making Framework,"Effective management and organizational success depend on empowering individuals with autonomy to make day-to-day decisions while maintaining clear purpose, stakeholder commitment, and scientific rigor in planning and execution. The principle describes a structured approach to decision-making that balances individual empowerment with organizational alignment.","When empowering employees to make day‑to‑day decisions while ensuring clear purpose, stakeholder commitment, and scientific rigor → do align autonomy with a shared mission and rigorous experimentation to improve engagement and performance.",Autonomous System Decision-making,"Autonomous systems make decisions by processing real-time environmental data through learned or programmed goal functions, enabling them to navigate complex environments and respond to dynamic conditions without continuous human intervention.","When an autonomous vehicle receives live sensor data in traffic, it processes that data through its learned or programmed goal functions to select the safest and most efficient route.",,,,,group size 2,differ,0.8,"TAXONOMY:one is leaderrship, delegational related the other is ai",17.09.26
T1_dedup,T1-09,2 objects proposed as duplicates,Are these the SAME object (should they merge into one)?,same / different,Resource-constrained Focus,"Entrepreneurs and product teams operating under limited resources (time, attention, money, people) achieve better outcomes by concentrating efforts on a single, well-defined objective rather than spreading attention across multiple pursuits. This principle reflects a fundamental constraint-driven optimization strategy.","When a startup or product team faces limited time, money, or personnel, focus all available resources on a single, well‑defined objective to maximize quality and speed of execution.",Resource-constrained Innovation,"Innovative solutions emerge when users face limitations in tools, time, or organizational support, driving them to develop novel approaches within existing constraints. This principle describes how scarcity of resources or support systems can catalyze creative problem-solving and experimentation.","When users encounter limited tools, time, or organizational support, they should deliberately experiment with existing resources, prototype in spare time, and document lessons learned to share with peers.",,,,,group size 2,same,0.6,AMBIG,17.09.26
T2_suffix_merge,T2-01,"base ""Nonlinear System Behavior""  vs  candidate ""Nonlinear System Behavior (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Nonlinear System Behavior,"Complex systems exhibit behaviors that are not linearly proportional to their inputs, making outcomes difficult to predict even when the underlying mechanisms are understood. These systems can produce effects that are either linear and predictable, linear and unpredictable, nonlinear and predictable, or nonlinear and unpredictable.","When a system exhibits interactions that lead to emergent, non‑additive responses → do employ nonlinear analysis, simulation, and robust control strategies rather than linear approximations.",Nonlinear System Behavior (2),"In complex systems, small changes can produce disproportionately large or small effects, and the relationship between input and output is not proportional. The system's response depends on its current state and internal dynamics rather than a direct linear mapping.","When observing that small changes produce disproportionately large or small effects in a system with feedback, thresholds, or state‑dependent dynamics → do adjust reasoning to account for sensitivity and potential chaos, and employ nonlinear modeling techniques instead of linear approximations.",,,,,,inbetween,0.4,AMBIG,17.09.26
T2_suffix_merge,T2-02,"base ""Iterative Prompt Refinement""  vs  candidate ""Iterative Prompt Refinement (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Iterative Prompt Refinement,"Improving prompt performance in generative AI requires systematic iteration and measurement, particularly for production applications where reuse and reliability are key. The principle emphasizes that initial prompt designs are often insufficient without structured evaluation and refinement cycles.","When designing prompts for a production generative AI system → set up a structured evaluation loop that repeatedly tests, measures, and refines the prompt until performance stabilizes.",Iterative Prompt Refinement (2),"Progressive improvement of AI outputs through systematic iteration of prompts, summaries, and verification steps. The principle describes a method where initial AI responses are refined through multiple stages of analysis, summarization, and validation to achieve higher quality and more reliable results.","When AI outputs show repetition, incomplete understanding, or require structured refinement → do iterative prompt refinement by summarizing chunks, chaining prompts, and adding verification steps to progressively improve quality.",,,,,,merge,0.6,AMBIG:,17.09.26
T2_suffix_merge,T2-03,"base ""Information-driven Decision Making""  vs  candidate ""Information-driven Decision Making (2)""","Is the CANDIDATE a duplicate of the BASE (one name = the other + a suffix), so they should merge?",merge / keep,Information-driven Decision Making,"Effective decision-making requires gathering and analyzing relevant information to reduce uncertainty and improve outcomes. The principle emphasizes that better information leads to better decisions, particularly in complex environments where multiple factors interact.",When a manager must choose a new product feature under market uncertainty → gather targeted customer and competitor data to reduce key uncertainties before finalizing the feature set.,Information-driven Decision Making (2),"Effective decision-making requires sufficient information about both external conditions and internal capabilities, as incomplete information leads to suboptimal choices and delays in execution.","When decision-makers lack critical data about markets, competitors, or internal timelines → do gather sufficient information before acting, balancing urgency and completeness.",,,,,,merge,1,,17.09.26
