 ,name,relation,discipline_human,tier,definition_excerpt,domains_deepseek,domains_qwen38,CORE_shared,only_deepseek,only_qwen38,silver_domains,HUMAN_domain_VERDICT,note
f94917ec48727f11b0363fa03ffe96a3118d29c3057991ecd881dd57ccb75cbf,Land Ethic and Ecological Symbiosis,disjoint,ecology,pending_4axis,The relationship between humans and land should be governed by an ethical framework that recognizes interdependent relationships and cooperative mechanisms in ecological systems.,environmental design; science & research; systems & frameworks; urban planning,arts & culture; social sciences,,environmental design; science & research; systems & frameworks; urban planning,arts & culture; social sciences,,science & research; social sciences; systems & frameworks,
47eaef5e4f8a6cf340d8625d4d145cddb6ef993452725d303d0f5f5ed9ef355e,Fourier Transform Frequency Domain Processing,disjoint,communication theory,pending_4axis,"The Fourier transform enables efficient processing of signals by converting time-domain operations into frequency-domain computations, where convolution becomes multiplication and signal analysis is simplified. This transformation is particularly valuable for audio and signal pro",computational science & physics; media & entertainment,code & computation; creative technology,,computational science & physics; media & entertainment,code & computation; creative technology,,computational science & physics; code & computation; media & entertainment,Signal-processing tool; canonical has no signal domain � best-fit. Audio/media is the stated application.
603980d65464ac230c28270900c528f1731c275ed39925643f53bd844233c597,Childlike Thinking in Idea Generation,disjoint,creative process,pending_4axis,"A creative methodology that encourages abandoning adult constraints and adopting the enthusiastic, unrestricted approach of childhood when generating new ideas.",design strategy; product design,arts & culture,,design strategy; product design,arts & culture,,design strategy; product design,Creative-generation methodology; follows corpus convention (design strategy hosts ideation). Qwen arts & culture too broad.
f9c6023b0ef266155d682bcce13aa0d87e97f036a12b75bda7467d63bdeafd36,Fitness-proportional Selection,disjoint,artificial intelligence,pending_4axis,"A genetic algorithm technique where individuals are selected for reproduction based on their relative fitness, with higher-fitness individuals having a greater probability of being chosen. This method mimics natural selection by favoring better-performing solutions.",ai & agents,code & computation; computational art,,ai & agents,code & computation; computational art,,ai & agents;,Signal-processing tool; canonical has no signal domain � best-fit. Audio/media is the stated application.
16da69f1cbc95c9635b556d67eb7b6dc7dd178fc4324917865af100ca46c9885,Historical Thinking Approach in Engineering Problem-solving,disjoint,,?,"An analytical framework that uses historical analysis to understand causal relationships between past and present, enabling more robust problem-solving through precedent analysis and pattern recognition.",engineering & infrastructure,engineering practice; research & methodology,,engineering & infrastructure,engineering practice; research & methodology,,engineering practice; research & methodology,Precedent/pattern analysis (research method) applied to engineering problem-solving.
dc759ae99642b3d8ed68fff6d42ec69fade917e309f12ba146a52e5b20a99075,Proactive Maintenance Over Reactive Crisis,partial overlap,risk management,pending_4axis,Regular maintenance of systems or processes prevents small problems from escalating into catastrophic failures. The principle emphasizes that early intervention is more effective than waiting for visible signs of failure.,business operations; engineering & infrastructure; project management; systems & frameworks,design strategy; engineering practice; systems & frameworks,systems & frameworks,business operations; engineering & infrastructure; project management,design strategy; engineering practice,,systems & frameworks; engineering practice;; business operations,Generic maintenance principle; unifies ops + engineering + systems views.
258df954350664dc0c57a5a461b6f79e90f9956eba427771a3f1af55f3d46970,Black Swan Risk Underestimation,partial overlap,,?,"Extreme events with high impact and low probability (black swans) are systematically underestimated in decision-making because conventional models assume thin-tailed distributions and ignore the role of rare, high-consequence occurrences. These events are often masked by visual r",business operations; data visualization; finance & investment; research & methodology,data visualization; design strategy,data visualization,business operations; finance & investment; research & methodology,design strategy,finance & investment; legal & public policy,"finance & investment; research & methodology; data visualization,business operations",
833c495107c4bce80eacb8dd50aa71c5966aba231bb23ae11f24faa8c0de559a,Cartographic Gaze and Surveillance,partial overlap,,?,"The cartographic gaze refers to the perspective of mapmakers and observers who view and represent space from a position of elevated control, often mirroring divine or omniscient observation. This gaze is historically tied to institutional power and surveillance, functioning as bo",semiotics & communication; social sciences; urban planning,arts & culture; legal & public policy; social sciences,social sciences,semiotics & communication; urban planning,arts & culture; legal & public policy,social sciences; urban planning,social sciences; semiotics & communication; urban planning,
87afff91a43dd2b9756613dccc1e14ff428af9048bd9a7c60aba8b743c2b32a9,Context As Narrative Construction,partial overlap,cognitive science,pending_4axis,"The principle that human experience is fundamentally constructed through narrative and story, with context emerging from the interplay between language, environment, and meaning-making processes.",editorial & advertising; marketing & communications; media & entertainment; semiotics & communication; user experience,design strategy; semiotics & communication; user experience,semiotics & communication; user experience,editorial & advertising; marketing & communications; media & entertainment,design strategy,,semiotics & communication; user experience,
9607677619f815b80eb8a9d35fcfe91cb19af9fcf88be4fc5a5d5eccf631ad48,Cost-benefit Optimization Framework,partial overlap,operations research,pending_4axis,"A structured approach to evaluating solutions by quantifying their financial impact through cost calculations, scalability assessments, and optimization constraints. The framework enables decision-making between prebuilt tools and custom solutions by measuring tangible returns an",business operations; engineering practice; finance & investment; project management,business operations; design strategy,business operations,engineering practice; finance & investment; project management,design strategy,,business operations; finance & investment; project management,
